,question,answer,category
119,میتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
120,ميتوان پروفایلپروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
121,ميتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
122,میتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
123,نمیتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
124,نمیتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
125,ميتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
126,میتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
127,نمیتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
128,ميتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
129,میتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
130,میتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
131,نمیتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
132,میتوان پروفایلپروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
133,نمیتوان پروفایلی ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
134,میتوان پروفایلپروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
135,ميتوان پروفایلی ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
136,ميتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
137,میتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
138,نمیتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
139,میتوان پروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
140,میتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
141,ميتوان پروفایلی ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
142,ميتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
143,نمیتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
144,ميتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
145,میتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
146,میتوان پروفایلپروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
147,نمیتوان پروفایلپروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
148,نمیتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
149,نمیتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
150,میتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
151,میتوان پروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
152,ميتوان پروفایلپروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
153,ميتوان پروفایلی ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
154,میتوان پروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
155,ميتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
156,ميتوان پروفایلپروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
157,ميتوان پروفایلپروفایل ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
158,نمیتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
159,ميتوان پروفایلی ايجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
160,نمیتوان پروفایل ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
161,میتوان پروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
162,ميتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
163,ميتوان پروفایلپروفایل ایجاد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
164,میتوان پروفایلی ایجادد,"در وب سایت روی گزینه ""ورود ثبت نام"" کلیک کنید. میتوانید با استفاده از شماره موبایل ثبت نام خود را انجام دهید. (کد فعال سازی برایتان پیامک میشود.) بعد از وارد نمودن کد فعالسازی، ثبت نام انجام می شود. سپس روی گزینه تکمیل اطلاعات کلیک و اطلاعات خود را تکمیل نمایید",ورود و ثبت‌نام
